                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.54373,                  0.578,                 0.6674,                0.86803,                0.99701,                      1,                  0.995,                0.89924,                0.99701,                      1,                  0.995,                0.91831,                0.45785,                0.50737,                0.57665,                0.80179,              0.0012324,              0.0012324,              0.0012324
                     81,                0.53168,                0.54947,                 0.6387,                0.83763,                0.99701,                      1,                  0.995,                0.89924,                0.99701,                      1,                  0.995,                0.91831,                0.45785,                0.50737,                0.57665,                0.80179,              0.0012269,              0.0012269,              0.0012269
                     82,                0.50234,                0.59055,                0.64161,                0.85539,                0.99536,                      1,                  0.995,                0.90381,                0.99536,                      1,                  0.995,                0.91105,                0.44389,                0.46619,                0.54478,                0.79923,              0.0012214,              0.0012214,              0.0012214
                     83,                0.50633,                0.53416,                0.64893,                0.86183,                0.99536,                      1,                  0.995,                0.90381,                0.99536,                      1,                  0.995,                0.91105,                0.44389,                0.46619,                0.54478,                0.79923,              0.0012159,              0.0012159,              0.0012159
                     84,                0.47909,                0.53692,                0.66769,                0.88677,                0.98994,                      1,                  0.995,                0.89644,                0.98994,                      1,                  0.995,                0.91793,                 0.4572,                0.48678,                0.53835,                0.79827,              0.0012104,              0.0012104,              0.0012104
                     85,                 0.4916,                0.54892,                0.62487,                0.83635,                0.98994,                      1,                  0.995,                0.89644,                0.98994,                      1,                  0.995,                0.91793,                 0.4572,                0.48678,                0.53835,                0.79827,              0.0012049,              0.0012049,              0.0012049
                     86,                0.50256,                0.44313,                0.61772,                0.82158,                0.97071,                      1,                  0.995,                0.89665,                0.97071,                      1,                  0.995,                0.91873,                0.45272,                0.48163,                0.55636,                0.79874,              0.0011994,              0.0011994,              0.0011994
                     87,                 0.5198,                0.58889,                 0.6348,                0.86981,                0.97071,                      1,                  0.995,                0.89665,                0.97071,                      1,                  0.995,                0.91873,                0.45272,                0.48163,                0.55636,                0.79874,              0.0011939,              0.0011939,              0.0011939
                     88,                0.50403,                0.52188,                 0.6209,                0.83881,                0.97181,                      1,                  0.995,                0.89728,                0.97181,                      1,                  0.995,                0.92076,                0.43427,                 0.4472,                0.53498,                0.79736,              0.0011884,              0.0011884,              0.0011884
                     89,                0.47057,                0.47281,                0.57285,                0.85001,                0.97181,                      1,                  0.995,                0.89728,                0.97181,                      1,                  0.995,                0.92076,                0.43427,                 0.4472,                0.53498,                0.79736,              0.0011829,              0.0011829,              0.0011829
