                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                  1.667,                0.95558,                 1.1596,                0.89369,                0.78821,                0.83927,                0.34574,                 1.7896,                 1.0185,                 1.0895,               0.001439,               0.001439,               0.001439
                     87,                 1.5414,                0.92007,                 1.1321,                0.84796,                0.82812,                0.89277,                0.38445,                 1.6859,                0.93919,                 1.0889,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.6025,                0.93445,                 1.0924,                0.81524,                0.82734,                0.84386,                0.40988,                 1.5942,                0.90036,                 1.0701,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.6284,                0.94933,                 1.1477,                0.80455,                 0.8125,                0.80358,                0.39347,                 1.6641,                0.94168,                 1.0588,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.6439,                0.97373,                  1.176,                0.76313,                0.76562,                0.75539,                0.30765,                 1.8434,                 1.0887,                  1.077,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.6029,                0.96173,                 1.1104,                0.79329,                0.83952,                0.87334,                0.36732,                 1.8524,                 0.9671,                 1.0823,               0.001406,               0.001406,               0.001406
                     92,                 1.5584,                 0.9381,                 1.1053,                 0.8584,                0.78125,                0.86697,                0.39196,                 1.7351,                0.95182,                 1.0765,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.6391,                0.97334,                 1.1092,                0.83563,                0.79438,                0.85332,                0.42304,                 1.6189,                0.96898,                 1.0723,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.6408,                0.94041,                 1.1164,                0.84071,                0.82469,                0.83977,                0.39518,                 1.6473,                0.99197,                  1.074,              0.0013862,              0.0013862,              0.0013862
                     95,                 1.5983,                0.90273,                 1.0898,                0.80957,                0.82812,                0.82756,                0.34925,                 1.7845,                 1.0815,                 1.0973,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.5889,                0.89985,                 1.1172,                0.92948,                0.82382,                0.90854,                0.39506,                 1.7274,                0.93985,                  1.064,               0.001373,               0.001373,               0.001373
                     97,                 1.5434,                0.86698,                 1.0855,                0.91487,                0.83963,                0.90311,                0.42327,                 1.6897,                 0.8862,                 1.0509,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.6398,                0.91117,                 1.1127,                0.88256,                0.85938,                0.89399,                0.42906,                 1.6218,                0.86472,                 1.0445,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.5495,                0.89332,                 1.1359,                0.90668,                0.84375,                0.90237,                0.40926,                 1.6658,                0.90277,                 1.0516,              0.0013532,              0.0013532,              0.0013532
                    100,                 1.5495,                0.92433,                 1.1194,                0.83897,                0.84375,                0.86556,                0.41977,                 1.6335,                0.88459,                 1.0378,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.5542,                 0.8581,                 1.1608,                 0.8438,                0.76562,                0.81034,                0.38476,                 1.7695,                0.97778,                 1.0982,                0.00134,                0.00134,                0.00134
                    102,                 1.5753,                0.90195,                 1.0779,                0.84425,                0.76232,                0.82338,                0.33968,                 1.8685,                 1.0407,                 1.1261,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.5713,                  0.899,                  1.108,                0.83429,                0.84375,                0.86496,                0.35989,                 1.7548,                0.93337,                 1.0624,              0.0013268,              0.0013268,              0.0013268
                    104,                 1.5329,                0.89028,                 1.1268,                0.87231,                0.85399,                0.89125,                0.40077,                 1.6761,                0.88874,                 1.0441,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.5951,                0.88878,                  1.057,                0.84619,                0.82812,                0.87411,                0.43048,                 1.6872,                0.90475,                 1.0605,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.5534,                 0.9213,                 1.1513,                0.90897,                 0.8125,                0.88011,                0.41589,                 1.6656,                0.87229,                 1.0463,               0.001307,               0.001307,               0.001307
                    107,                   1.53,                0.89387,                 1.0833,                 0.9028,                0.87085,                0.90962,                0.39152,                 1.6942,                0.91935,                 1.0546,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.5875,                  0.908,                 1.0913,                0.90021,                0.84577,                0.89964,                0.38268,                 1.7284,                0.94254,                 1.0787,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.5245,                0.87763,                 1.1145,                0.78927,                 0.6875,                0.79134,                0.36948,                 1.6952,                 1.0652,                 1.0878,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.5579,                0.87779,                 1.0975,                 0.7983,                0.64062,                0.76494,                0.36401,                  1.745,                 1.0193,                 1.1125,              0.0012806,              0.0012806,              0.0012806
                    111,                  1.512,                0.87358,                  1.093,                0.79636,                0.79438,                0.83543,                0.38464,                 1.7601,                0.89864,                  1.084,               0.001274,               0.001274,               0.001274
                    112,                 1.5202,                0.83728,                 1.0875,                 0.8956,                0.84375,                0.91108,                0.39838,                 1.7252,                0.89229,                 1.0806,              0.0012674,              0.0012674,              0.0012674
                    113,                 1.5614,                0.85914,                 1.1145,                0.88792,                 0.8125,                0.89631,                  0.377,                 1.7715,                0.91468,                 1.0843,              0.0012608,              0.0012608,              0.0012608
                    114,                 1.5179,                0.85907,                 1.0959,                0.90157,                0.85875,                0.89085,                0.44691,                 1.7042,                0.83321,                 1.0735,              0.0012542,              0.0012542,              0.0012542
                    115,                 1.5877,                0.87511,                 1.1549,                0.85551,                0.84375,                0.85853,                  0.432,                 1.6498,                0.87299,                 1.0543,              0.0012476,              0.0012476,              0.0012476
                    116,                 1.6029,                0.88794,                 1.0992,                0.85288,                0.85938,                 0.8726,                0.39064,                 1.7345,                0.95011,                 1.0694,               0.001241,               0.001241,               0.001241
